lead_time,avg_price_per_room,no_of_special_requests,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,arrival_year,no_of_adults,booking_status
26,124.0,3,9,12,4,1,2,2017,2,1
106,90.95,1,4,17,4,2,2,2018,2,1
320,115.0,1,8,18,3,2,0,2018,2,0
0,69.0,1,11,30,4,7,3,2017,1,1
13,81.0,0,3,8,4,2,0,2018,2,1
15,103.44,0,4,27,4,3,0,2018,2,0
270,80.0,0,4,20,3,4,0,2018,2,1
102,89.25,0,10,16,4,2,1,2017,2,1
102,87.0,0,10,16,3,2,0,2017,1,1
1,65.0,0,9,30,2,1,0,2017,1,1
78,95.0,1,9,29,3,3,0,2018,2,1
112,100.0,0,6,2,3,2,0,2018,2,1
273,109.0,0,7,17,3,2,0,2017,2,0
25,129.0,2,10,17,4,2,1,2018,1,1
72,79.65,0,10,30,4,2,2,2018,2,0
93,76.5,2,8,15,4,3,2,2017,2,0
91,114.3,0,7,6,4,1,0,2018,2,1
24,71.69,1,9,11,4,0,2,2018,2,1
5,66.0,0,2,28,2,0,2,2018,1,1
6,88.0,0,12,1,4,1,0,2018,1,1
57,135.9,1,8,10,4,2,0,2018,2,1
14,0.0,0,9,17,4,2,0,2017,1,1
12,75.2,0,12,14,4,1,0,2018,1,1
5,73.15,0,11,15,4,0,1,2017,1,1
99,81.0,0,2,19,2,1,0,2018,1,1
97,109.81,1,4,30,4,5,2,2018,2,1
56,85.85,1,3,28,4,5,1,2018,2,0
60,123.3,1,9,3,4,1,1,2018,2,0
8,85.35,1,10,29,4,1,2,2018,1,1
198,159.3,1,9,22,4,3,0,2018,3,0
163,72.25,1,8,21,3,6,4,2018,2,1
19,117.81,1,9,23,4,2,1,2018,1,1
20,80.0,0,11,14,3,2,1,2018,2,1
3,98.8,0,9,7,3,1,1,2017,1,1
1,51.5,0,2,7,3,1,2,2018,2,1
30,79.6,1,1,31,4,0,2,2018,2,1
118,110.0,0,6,6,3,1,1,2018,1,1
386,115.0,1,10,23,4,0,2,2018,2,0
186,102.6,2,9,30,4,2,2,2018,2,0
304,89.0,0,11,3,4,3,0,2018,2,0
2,55.0,0,3,2,3,1,0,2018,1,1
12,75.0,0,10,5,3,2,1,2017,1,1
9,201.0,3,8,1,4,0,1,2018,2,1
183,187.5,0,8,16,4,5,0,2018,3,0
79,37.33,1,7,7,1,3,0,2017,2,1
256,100.75,0,10,16,4,3,2,2018,2,0
97,96.3,1,4,8,4,2,0,2018,2,1
175,112.63,0,8,31,4,4,0,2018,2,0
69,57.52,1,10,28,4,1,0,2018,1,1
10,95.0,1,9,1,3,1,0,2018,2,1
0,62.8,0,12,24,3,3,2,2017,2,1
122,86.0,0,3,27,3,1,2,2018,1,1
11,95.48,1,3,16,4,3,0,2018,2,1
67,125.1,1,8,13,4,1,0,2018,2,1
42,106.8,1,11,25,4,3,0,2017,3,1
4,109.0,0,1,2,3,1,2,2018,2,1
4,59.0,0,1,25,2,0,1,2018,1,1
133,88.5,0,4,29,4,2,1,2018,2,0
74,55.24,0,2,17,4,4,1,2018,2,1
2,102.7,0,8,2,4,1,0,2018,1,1
135,94.5,2,5,22,4,0,2,2018,2,1
128,105.4,1,5,4,3,3,0,2018,3,1
0,89.0,0,5,9,4,0,1,2018,2,1
6,81.0,0,8,23,4,0,1,2017,2,1
38,85.0,0,12,2,2,2,0,2018,2,1
20,156.0,0,5,11,4,1,0,2018,1,0
240,90.95,2,10,27,4,3,1,2018,2,1
34,74.8,2,11,14,4,5,2,2018,1,0
79,75.0,0,11,13,3,2,0,2017,2,1
126,125.45,2,5,15,4,3,2,2018,2,1
4,88.0,1,12,14,4,1,0,2018,1,1
31,125.1,1,10,4,4,1,0,2018,2,1
2,75.0,0,9,20,3,1,2,2017,2,1
35,84.24,0,6,1,4,2,0,2018,2,0
147,127.93,1,7,3,4,2,2,2018,3,1
188,130.0,0,6,15,3,2,0,2018,1,0
176,137.7,2,8,9,4,3,0,2018,3,0
0,65.0,0,5,23,2,0,1,2018,1,1
22,206.0,2,6,13,4,3,1,2018,3,1
31,135.9,1,7,27,4,2,0,2018,2,0
73,149.4,1,9,19,4,3,1,2018,2,0
2,98.0,0,3,22,4,2,0,2018,2,1
83,75.0,0,12,18,3,0,2,2018,2,1
8,101.0,0,2,6,2,1,0,2018,1,1
11,80.3,1,1,20,4,2,0,2018,2,1
192,94.5,0,8,3,4,2,0,2018,2,0
39,130.9,2,12,8,4,8,2,2018,3,1
188,130.0,0,6,15,4,2,0,2018,1,0
64,70.46,0,3,10,4,13,6,2018,2,0
39,96.3,2,10,23,4,1,0,2017,2,1
47,119.52,0,9,18,4,2,2,2018,2,1
74,109.0,0,9,18,3,2,0,2017,2,1
27,195.5,2,8,8,4,1,1,2018,2,1
256,115.0,1,6,15,3,2,0,2018,2,0
304,89.0,0,11,3,4,3,0,2018,2,0
267,95.0,0,9,30,3,2,1,2018,2,0
33,120.6,1,10,3,4,0,1,2018,1,1
47,86.35,1,3,11,4,2,2,2018,2,1
54,117.9,0,7,3,4,1,2,2018,2,0
95,80.75,0,5,6,3,2,1,2018,2,1
89,87.3,1,4,1,4,2,0,2018,2,1
104,150.3,0,8,24,4,4,0,2018,3,0
156,106.89,1,8,12,4,6,2,2018,2,0
213,130.0,0,6,7,3,3,0,2018,2,0
44,66.29,1,2,21,4,5,2,2018,2,1
86,90.95,1,4,25,4,3,1,2018,2,1
78,108.45,1,4,6,4,4,0,2018,2,1
76,140.4,1,5,12,4,3,0,2018,2,1
170,112.2,1,8,11,4,3,2,2018,2,0
4,67.5,0,1,16,4,1,1,2018,2,1
131,94.5,0,8,15,3,1,2,2017,2,0
19,115.0,0,3,3,4,1,0,2018,3,0
97,84.43,0,5,1,4,4,2,2018,2,0
0,129.0,1,6,17,4,1,0,2018,2,1
275,90.0,0,10,5,3,4,1,2018,2,0
16,111.75,1,10,1,4,3,1,2017,2,1
146,95.0,0,4,24,3,0,2,2018,2,0
35,73.1,0,3,2,4,2,0,2018,2,0
20,70.42,0,12,28,4,2,1,2017,2,1
191,132.0,0,6,3,3,2,1,2018,2,0
36,68.07,1,12,10,4,6,2,2018,2,1
105,114.3,1,7,7,4,3,1,2018,2,1
10,110.0,0,9,30,0,1,0,2018,1,0
6,87.27,1,10,30,4,2,1,2017,2,1
167,96.3,0,8,26,4,2,1,2018,1,0
138,142.2,0,8,18,4,2,0,2018,3,0
3,185.57,0,4,7,4,2,0,2018,3,1
275,90.0,0,10,5,3,4,1,2018,2,0
33,149.0,1,10,26,4,4,0,2018,2,0
290,72.0,0,6,17,3,2,1,2018,2,0
246,104.55,0,12,26,4,3,1,2018,3,1
75,90.0,0,4,17,4,0,2,2018,2,1
12,55.72,0,2,6,4,2,2,2018,2,1
14,91.0,1,2,7,4,2,2,2018,2,0
7,58.0,0,12,9,3,3,0,2017,2,1
4,55.0,0,11,27,3,2,1,2017,2,1
177,84.39,0,8,22,4,5,2,2018,2,0
176,108.9,0,10,7,4,2,0,2018,2,0
5,167.0,0,8,21,4,0,1,2018,2,0
308,78.3,1,11,23,4,3,0,2018,2,0
88,112.2,0,10,5,3,1,1,2017,2,1
4,80.0,0,2,19,2,1,0,2018,2,0
188,80.75,1,7,23,4,5,2,2018,2,1
46,96.16,1,3,13,4,5,3,2018,2,0
9,67.0,1,10,13,2,2,0,2018,1,1
9,194.0,2,6,27,4,3,1,2018,2,1
0,75.0,0,10,3,2,0,1,2018,2,1
235,105.3,2,8,6,4,1,1,2018,2,0
96,82.45,0,8,11,3,2,0,2018,2,1
135,79.72,1,5,9,4,4,1,2018,2,0
101,80.0,0,4,4,3,2,1,2018,2,0
212,78.0,1,5,20,3,3,2,2018,2,1
28,75.0,2,9,27,3,1,0,2018,2,1
13,75.0,0,3,20,3,0,1,2018,1,1
306,104.4,3,8,14,4,1,2,2018,2,1
51,83.3,1,3,21,4,3,1,2018,2,1
177,80.75,0,10,14,3,2,1,2018,2,1
17,142.54,0,11,6,4,2,2,2018,2,1
45,151.2,2,8,30,4,3,0,2018,3,1
244,94.5,2,12,21,4,2,0,2018,2,0
100,136.0,1,5,19,4,3,1,2018,2,1
41,76.5,0,3,15,4,1,0,2018,1,0
99,81.0,0,2,19,2,1,0,2018,1,1
192,95.0,0,6,24,3,2,0,2018,1,1
24,157.0,0,6,22,4,2,0,2018,3,0
29,129.0,1,10,20,4,2,0,2018,1,0
18,12.0,2,9,2,4,3,0,2017,2,1
104,91.48,1,10,18,4,4,0,2018,2,1
4,133.33,2,10,28,4,2,1,2018,1,1
34,122.4,0,6,19,4,1,2,2018,2,0
64,65.36,2,1,19,4,2,0,2018,2,1
1,85.0,0,1,23,4,1,0,2018,1,1
138,71.67,1,7,2,4,2,2,2018,2,1
12,118.5,1,8,31,4,2,0,2018,2,1
28,104.5,2,8,30,4,4,0,2018,2,1
164,100.0,0,10,2,3,2,0,2017,1,1
20,65.0,0,6,29,2,1,0,2018,1,1
5,80.0,0,12,18,3,2,2,2018,2,1
9,67.5,0,1,14,4,2,0,2018,2,1
12,89.0,1,1,15,4,2,1,2018,2,1
102,101.5,0,10,16,3,2,0,2017,2,0
48,93.5,2,3,20,4,2,2,2018,2,1
7,241.0,2,5,25,4,2,0,2018,2,1
55,104.0,0,4,6,3,1,0,2018,2,1
90,112.88,0,9,7,3,3,0,2018,2,1
50,123.3,1,9,2,4,2,1,2018,2,0
81,59.5,0,3,18,3,2,2,2018,2,1
275,62.8,0,6,4,3,1,1,2018,2,0
192,95.0,0,6,24,3,2,0,2018,1,1
113,100.0,0,5,31,2,3,0,2018,1,0
74,109.0,0,9,18,3,2,0,2017,2,1
18,142.43,1,8,27,4,5,2,2018,2,0
141,72.76,1,5,23,4,0,1,2018,2,1
29,98.0,0,4,12,4,3,0,2018,2,0
50,108.0,1,10,19,4,1,0,2018,2,0
20,67.0,0,12,4,2,0,2,2018,1,1
39,101.5,0,8,14,3,2,0,2017,2,1
2,89.0,0,3,30,4,1,0,2018,1,1
40,135.76,0,4,22,4,5,2,2018,3,0
69,123.98,0,9,1,4,6,2,2018,2,0
3,119.0,0,8,17,2,4,1,2017,2,0
270,80.0,0,4,20,3,4,0,2018,2,1
213,130.0,0,6,7,3,3,0,2018,2,0
2,99.14,0,8,19,4,5,2,2017,2,1
143,106.0,0,7,18,2,3,1,2018,1,1
377,115.0,1,10,14,3,2,0,2018,2,0
0,15.0,0,7,10,4,0,1,2018,2,1
14,139.0,1,2,14,4,5,2,2018,3,1
144,95.4,0,6,2,4,3,0,2018,2,1
1,74.25,1,1,4,4,1,1,2018,2,1
4,93.0,0,2,20,4,1,0,2018,2,1
101,70.0,0,4,4,3,2,1,2018,1,0
296,117.0,1,9,21,3,4,0,2018,2,0
0,124.0,0,8,10,4,3,1,2017,2,1
143,100.0,0,8,25,3,3,0,2018,2,1
109,131.4,3,8,11,4,3,1,2018,2,1
92,89.25,1,10,6,4,5,0,2017,2,1
188,130.0,0,6,15,3,2,0,2018,1,0
13,96.0,0,4,26,3,3,0,2018,2,1
224,128.7,2,10,23,4,1,2,2018,3,0
386,115.0,1,10,23,3,0,2,2018,2,0
275,90.0,0,10,5,3,4,1,2018,2,0
161,130.0,0,3,25,3,2,1,2018,2,0
36,214.75,0,8,21,4,0,1,2018,4,0
21,196.0,0,4,11,4,1,1,2018,2,0
81,89.25,2,10,24,4,3,2,2017,2,1
28,144.8,1,5,20,4,2,1,2018,2,1
112,100.0,0,6,2,3,2,0,2018,2,1
237,80.75,0,9,14,4,2,1,2017,1,0
46,98.1,1,9,7,4,1,0,2018,2,1
137,133.2,0,8,23,4,4,0,2018,3,0
85,100.0,0,9,30,3,3,0,2017,1,1
34,66.0,1,2,17,3,4,1,2018,2,1
0,141.0,1,5,12,4,1,0,2018,2,1
30,139.28,0,10,2,4,2,2,2018,2,0
37,95.0,0,10,13,3,3,0,2018,1,1
13,151.0,1,8,6,4,1,0,2018,2,1
113,138.55,0,7,1,4,6,2,2018,3,0
155,142.83,0,10,20,4,3,0,2018,3,0
4,109.0,2,3,11,4,2,1,2018,2,1
43,72.0,1,12,2,3,2,0,2018,2,1
232,110.7,2,12,5,4,2,1,2018,3,1
1,89.5,1,12,18,4,0,1,2018,2,1
142,128.7,1,7,1,4,2,0,2018,3,1
9,107.0,1,11,12,4,3,1,2017,2,1
160,106.75,0,8,8,4,5,2,2018,2,0
177,100.0,0,6,3,3,2,0,2018,2,0
0,182.33,1,5,27,4,2,0,2018,2,0
3,75.0,0,12,4,4,1,0,2017,2,1
20,115.6,2,6,8,4,2,0,2018,2,1
0,91.59,0,8,16,4,2,0,2018,2,1
92,187.85,1,6,1,4,4,0,2018,2,1
276,95.0,0,9,22,4,3,0,2018,2,0
44,95.0,1,4,23,3,1,2,2018,2,1
27,85.0,0,5,4,3,1,0,2018,2,1
61,78.9,1,2,29,4,2,1,2018,1,0
61,68.85,0,7,8,4,8,2,2017,2,0
83,75.0,0,5,1,3,1,2,2018,2,1
172,79.03,1,7,4,4,4,1,2018,2,1
48,108.0,1,10,4,4,3,0,2018,2,0
37,69.5,1,2,12,4,2,1,2018,0,1
92,90.95,0,4,7,3,3,1,2018,2,1
0,95.0,0,6,20,0,3,1,2018,1,1
0,0.0,1,9,28,1,1,0,2018,1,1
60,143.1,0,4,30,4,1,1,2018,1,0
188,105.3,0,8,13,4,1,1,2018,2,0
1,136.0,2,6,11,4,1,1,2018,2,1
71,120.0,0,6,14,3,3,0,2018,1,1
28,96.3,2,10,12,4,2,1,2017,2,1
39,109.0,0,8,14,3,2,0,2017,2,1
49,71.0,0,12,30,3,4,0,2017,2,1
10,129.0,0,6,29,4,2,0,2018,2,0
5,130.0,1,8,20,4,1,0,2018,2,1
7,90.0,1,8,17,4,2,1,2017,2,1
1,75.0,0,11,29,3,1,0,2018,1,1
14,89.0,0,4,19,4,1,0,2018,2,0
137,147.9,1,7,29,4,7,3,2018,2,1
76,129.0,2,6,17,4,2,2,2018,2,1
20,58.0,0,12,27,3,1,2,2017,2,1
105,75.0,0,4,6,3,1,0,2018,2,0
11,94.5,0,8,15,3,1,2,2017,2,1
23,96.0,0,3,10,4,3,1,2018,2,0
164,100.0,0,10,2,3,2,0,2017,1,0
189,72.25,0,8,8,3,3,1,2018,2,1
105,72.25,3,11,26,4,3,0,2017,2,1
188,130.0,0,6,15,3,2,0,2018,1,0
52,145.24,0,10,23,4,3,2,2018,2,0
145,94.5,0,8,1,4,1,1,2018,2,1
81,190.29,0,7,11,4,5,2,2018,3,1
6,169.93,1,9,12,4,1,1,2018,3,1
10,89.0,1,4,3,4,0,2,2018,2,1
99,81.0,0,2,19,2,1,0,2018,1,1
54,140.4,0,6,4,4,1,0,2018,2,0
176,125.1,0,9,8,3,3,0,2018,2,0
68,125.1,0,9,16,4,1,0,2018,2,0
50,127.8,2,10,4,4,2,0,2018,2,1
1,98.0,0,8,9,4,0,2,2017,2,1
49,71.0,0,12,30,3,4,0,2017,2,1
150,80.1,0,10,30,4,0,2,2018,2,0
135,90.0,0,9,14,3,2,1,2017,2,1
111,120.0,0,10,10,3,0,1,2018,1,0
3,138.5,0,7,11,3,1,2,2017,3,1
122,76.5,2,7,13,4,0,1,2017,2,0
40,158.4,1,10,2,4,0,1,2018,3,1
204,93.22,2,8,15,4,10,5,2018,2,0
119,112.5,0,6,28,4,1,0,2018,2,0
240,140.4,0,9,30,4,2,0,2018,2,0
96,108.0,3,10,3,4,1,1,2018,1,1
131,108.0,0,10,10,4,0,1,2018,1,0
247,115.0,1,6,6,3,1,1,2018,2,0
137,79.72,1,5,22,4,3,2,2018,2,1
18,146.0,1,5,10,4,3,0,2018,2,1
105,75.0,0,4,6,3,1,0,2018,2,0
52,132.9,0,7,8,4,2,1,2018,2,0
304,89.0,0,11,3,3,3,0,2018,2,0
73,145.93,0,7,2,4,10,4,2018,3,0
142,138.55,1,8,8,4,4,1,2018,3,1
88,98.18,0,4,26,4,4,0,2018,2,0
94,117.9,0,8,23,4,2,0,2018,2,0
57,90.67,1,6,10,3,2,1,2018,2,1
61,63.58,0,3,19,3,2,2,2018,2,1
276,116.33,0,9,22,3,3,0,2018,2,0
117,72.25,1,7,27,3,4,1,2018,2,1
6,90.2,1,2,7,3,2,2,2018,3,1
76,80.75,0,9,17,4,4,2,2017,1,1
102,101.5,0,10,16,4,2,0,2017,2,0
83,112.59,2,9,28,4,1,0,2018,2,1
89,87.3,1,4,8,4,2,1,2018,2,1
166,110.0,0,11,1,3,3,0,2018,1,0
10,110.0,0,5,29,2,5,3,2018,1,1
250,95.0,0,9,26,3,3,1,2018,2,0
9,0.0,0,4,6,4,1,0,2018,1,1
273,95.0,0,5,13,4,2,1,2018,2,0
85,73.95,2,3,17,4,3,2,2018,2,1
79,88.5,0,4,17,4,1,2,2018,2,0
30,140.0,0,6,2,3,2,0,2018,2,1
0,99.2,0,9,7,3,1,1,2017,2,1
112,100.0,0,6,2,3,2,0,2018,2,1
5,100.0,0,5,24,2,2,0,2018,1,1
14,98.11,1,12,28,4,5,2,2018,2,1
12,184.0,3,2,24,4,4,0,2018,3,1
95,103.7,3,12,21,4,5,2,2018,2,1
80,136.0,0,10,9,3,2,0,2017,2,1
52,207.9,1,9,14,4,3,0,2018,2,0
64,93.5,0,3,18,4,2,2,2018,1,1
11,129.75,1,7,25,4,2,1,2018,2,1
178,124.5,0,8,18,4,3,0,2018,1,0
0,161.0,0,7,25,4,2,1,2018,2,1
224,102.25,0,8,8,3,2,1,2018,2,0
7,138.0,2,9,11,4,2,0,2017,2,1
0,163.18,0,5,18,2,1,0,2018,1,0
260,113.4,0,9,22,4,3,0,2018,2,0
1,95.0,1,11,5,4,2,0,2017,2,1
172,80.75,0,6,27,4,4,1,2018,2,0
219,72.25,0,8,17,3,3,0,2018,2,1
50,79.56,0,7,13,3,4,2,2018,2,0
14,184.0,2,9,22,4,1,0,2018,1,1
0,0.0,0,10,1,1,1,0,2017,1,1
156,72.25,1,7,16,3,2,2,2018,2,1
164,100.0,0,10,2,3,2,0,2017,1,1
211,100.0,0,5,20,3,2,0,2018,2,0
40,75.0,0,10,28,3,3,0,2017,2,1
229,70.44,0,10,27,4,3,0,2018,2,0
7,156.0,1,6,16,4,4,2,2018,2,0
60,65.0,0,9,21,3,1,1,2017,2,1
143,0.0,0,4,24,4,0,0,2018,2,1
0,0.0,2,12,12,1,0,1,2018,2,1
193,120.0,0,6,20,3,2,1,2018,2,0
61,72.24,1,10,26,3,1,1,2017,2,1
6,126.0,1,5,9,4,1,1,2018,2,1
87,181.16,2,7,9,4,5,2,2018,3,1
119,90.9,0,4,15,4,2,0,2018,1,1
72,53.95,1,9,19,4,3,1,2018,2,1
5,64.0,0,2,2,3,3,0,2018,2,1
5,82.35,0,11,28,4,1,1,2018,1,1
16,76.0,0,3,8,2,2,0,2018,1,1
104,77.03,1,7,16,4,1,1,2018,2,1
170,96.3,1,6,28,4,3,0,2018,2,1
75,80.0,0,3,17,3,3,1,2018,2,0
92,90.0,0,11,11,3,1,0,2018,2,1
0,55.08,0,2,12,4,1,0,2018,2,1
7,95.0,0,4,4,4,0,1,2018,1,1
12,134.33,2,7,19,4,3,0,2018,2,1
110,95.0,0,6,26,4,1,2,2018,2,0
15,60.0,0,12,27,3,1,0,2018,1,1
18,75.0,1,1,21,4,2,0,2018,3,1
245,110.0,0,7,6,3,4,2,2018,1,0
30,149.4,0,5,11,4,4,0,2018,2,0
79,95.2,1,4,4,4,3,1,2018,2,1
61,75.0,1,11,23,3,3,0,2018,2,1
235,106.25,0,10,27,4,3,1,2018,2,0
3,131.0,0,7,24,4,0,1,2018,2,1
0,45.0,1,10,28,3,1,0,2018,1,1
38,112.59,0,9,26,4,1,1,2018,2,0
100,38.67,0,3,25,3,2,1,2018,2,1
19,95.0,1,10,27,2,1,0,2017,1,1
94,146.7,0,6,30,4,2,0,2018,3,0
13,156.0,0,5,6,4,2,0,2018,2,1
84,60.98,1,11,5,4,1,0,2018,2,1
6,54.0,0,2,28,3,0,2,2018,2,1
80,80.33,1,3,17,4,3,1,2018,2,1
94,96.3,0,3,9,4,3,0,2018,2,1
71,87.13,1,4,3,4,2,2,2018,2,1
38,77.23,3,11,2,4,4,0,2018,1,1
122,105.3,1,5,12,4,2,0,2018,2,1
39,101.5,0,8,14,3,2,0,2017,2,1
2,78.2,1,11,6,3,5,2,2018,2,1
86,105.4,1,4,25,4,5,3,2018,2,0
47,90.3,0,2,18,4,3,0,2018,2,1
1,71.7,0,1,27,4,2,0,2018,1,1
44,98.8,0,12,2,4,2,0,2018,2,0
0,135.5,2,10,1,4,2,0,2017,2,1
0,75.0,0,3,24,3,1,0,2018,1,1
99,65.0,0,10,30,4,2,2,2017,2,0
25,89.89,2,12,10,4,2,2,2018,2,1
75,80.0,0,3,17,4,3,1,2018,2,0
102,40.67,0,1,3,3,1,2,2018,2,1
0,101.18,0,7,23,4,1,0,2018,1,1
17,135.0,2,10,7,4,1,0,2018,2,1
433,70.0,0,9,8,3,3,0,2018,2,0
19,174.0,2,9,15,4,2,0,2018,2,1
42,88.2,0,3,22,4,1,0,2018,2,1
49,63.75,0,3,8,4,4,0,2018,2,0
77,115.8,1,4,18,4,2,1,2018,2,1
0,129.0,3,8,30,4,3,0,2018,2,1
273,95.0,0,5,13,3,2,1,2018,2,0
9,82.92,0,3,30,4,1,0,2018,1,1
77,125.1,1,6,18,4,1,1,2018,2,1
95,65.83,1,4,14,4,1,0,2018,2,1
177,80.75,1,7,26,4,4,0,2018,2,0
67,75.0,0,12,2,3,2,1,2018,2,1
